iter	RMSE
0	15.11262633
1	15.01119729
2	14.91543064
3	14.83230007
4	14.73665401
5	14.64047565
6	14.55729852
7	14.46964223
8	14.38020196
9	14.28145549
10	14.19333689
11	14.10029235
12	14.00558833
13	13.90745467
14	13.82189898
15	13.73283524
16	13.64680296
17	13.55412916
18	13.47561857
19	13.39233025
20	13.30567969
21	13.22363382
22	13.15473334
23	13.06803627
24	12.98691811
25	12.91007586
26	12.83075271
27	12.75447899
28	12.67392671
29	12.6026589
30	12.5259935
31	12.45383841
32	12.38420833
33	12.30980557
34	12.23696992
35	12.16853203
36	12.09413413
37	12.02203924
38	11.95099251
39	11.87551644
40	11.81324891
41	11.74214911
42	11.67035106
43	11.60836907
44	11.54118117
45	11.47115144
46	11.40213632
47	11.33614753
48	11.27878488
49	11.22118283
50	11.15920149
51	11.10817476
52	11.04272543
53	10.98631269
54	10.92674841
55	10.86156177
56	10.8015918
57	10.74358749
58	10.68868953
59	10.63163451
60	10.57488363
61	10.5180868
62	10.45948692
63	10.40850713
64	10.35296526
65	10.29830597
66	10.24057019
67	10.18467997
68	10.13338568
69	10.07950507
70	10.03133677
71	9.98443622
72	9.931628085
73	9.880366743
74	9.829695231
75	9.780756652
76	9.729927765
77	9.684976145
78	9.63810898
79	9.589408802
80	9.545469303
81	9.505537693
82	9.461597028
83	9.414224439
84	9.366652278
85	9.322381351
86	9.284353025
87	9.24625636
88	9.1982881
89	9.164319487
90	9.123464011
91	9.083794623
92	9.045958728
93	9.003523747
94	8.960735646
95	8.92218394
96	8.881392408
97	8.840649881
98	8.798239444
99	8.756890569
100	8.719987269
101	8.680984678
102	8.640820763
103	8.602125041
104	8.57132717
105	8.535708665
106	8.500245057
107	8.463201449
108	8.427703125
109	8.39363893
110	8.361963779
111	8.328383232
112	8.293216257
113	8.260981462
114	8.228268118
115	8.19710679
116	8.164636219
117	8.136846424
118	8.107345533
119	8.077823007
120	8.049748044
121	8.018058144
122	7.989434693
123	7.958903608
124	7.927959734
125	7.897089048
126	7.865054757
127	7.839174675
128	7.812824177
129	7.785503312
130	7.758857805
131	7.732232573
132	7.705689821
133	7.682247768
134	7.654349466
135	7.630160997
136	7.605877774
137	7.582563636
