iter	Passed	Remaining
0	3	3332
1	6	3099
2	8	2881
3	10	2625
4	12	2513
5	14	2416
6	16	2352
7	18	2312
8	20	2271
9	22	2247
10	24	2222
11	26	2189
12	28	2166
13	30	2149
14	32	2139
15	34	2133
16	36	2126
17	38	2110
18	40	2098
19	42	2086
20	44	2077
21	46	2066
22	48	2081
23	51	2092
24	53	2086
25	55	2075
26	57	2067
27	59	2059
28	61	2050
29	63	2051
30	65	2046
31	67	2040
32	69	2036
33	71	2030
34	73	2023
35	75	2026
36	78	2052
37	81	2062
38	83	2059
39	85	2051
40	87	2046
41	89	2043
42	91	2036
43	93	2032
44	95	2026
45	97	2019
46	99	2011
47	101	2006
48	103	2002
49	105	1997
50	107	1992
51	109	1988
52	111	1985
53	113	1981
54	115	1977
55	117	1973
56	119	1969
57	120	1963
58	122	1959
59	124	1955
60	126	1951
61	128	1946
62	130	1942
63	132	1942
64	134	1939
65	136	1936
66	138	1933
67	140	1930
68	142	1926
69	144	1924
70	146	1922
71	148	1920
72	150	1916
73	152	1913
74	154	1909
75	156	1907
76	158	1904
77	160	1902
78	162	1899
79	164	1895
80	166	1892
81	168	1888
82	170	1885
83	172	1884
84	174	1880
85	176	1878
86	178	1876
87	180	1873
88	182	1869
89	184	1867
90	187	1874
91	189	1871
92	191	1869
93	193	1869
94	196	1867
95	198	1867
96	200	1867
97	202	1864
98	204	1863
99	206	1862
100	208	1859
101	210	1855
102	212	1854
103	214	1851
104	217	1851
105	219	1848
106	221	1846
107	223	1843
108	225	1842
109	227	1840
110	229	1839
111	231	1837
112	233	1834
113	235	1833
114	237	1831
115	239	1828
116	242	1827
117	244	1825
118	246	1822
119	248	1821
120	250	1819
121	252	1816
122	254	1814
123	256	1811
124	258	1808
125	260	1808
126	262	1805
127	264	1803
128	266	1802
129	268	1799
130	271	1798
131	273	1798
132	275	1796
133	277	1794
134	279	1793
135	281	1791
136	284	1789
137	286	1788
138	290	1796
139	294	1809
140	297	1809
141	299	1811
142	302	1811
143	304	1811
144	306	1808
145	308	1805
146	310	1804
147	313	1805
148	322	1840
149	327	1854
150	330	1858
151	340	1902
152	344	1904
153	346	1901
154	350	1911
155	353	1910
156	355	1911
157	358	1907
158	360	1906
159	363	1908
160	366	1912
161	369	1911
162	372	1910
163	374	1906
164	376	1903
165	384	1929
166	387	1934
167	390	1933
168	393	1935
169	396	1936
170	399	1935
171	401	1932
172	403	1930
173	405	1926
174	413	1947
175	415	1946
176	417	1943
177	420	1939
178	424	1946
179	427	1945
180	429	1944
181	432	1942
182	434	1939
183	438	1943
184	441	1943
185	443	1942
186	446	1940
187	448	1936
188	450	1932
189	454	1935
190	457	1937
191	459	1934
192	461	1930
193	464	1927
194	470	1941
195	475	1949
196	477	1945
197	479	1941
198	482	1943
199	485	1942
200	488	1942
201	490	1938
202	492	1934
203	497	1939
204	499	1938
205	503	1940
206	505	1936
207	507	1932
208	509	1928
209	512	1926
210	514	1922
211	516	1918
212	518	1914
213	520	1910
214	522	1906
215	524	1903
216	526	1900
217	528	1896
218	530	1892
219	532	1888
220	534	1884
221	536	1880
222	538	1876
223	540	1873
224	543	1871
225	545	1867
226	547	1863
227	549	1860
228	551	1856
229	553	1852
230	556	1851
231	558	1848
232	560	1844
233	562	1840
234	564	1836
235	566	1833
236	568	1830
237	570	1828
238	572	1824
239	574	1820
240	576	1816
241	578	1813
242	580	1809
243	582	1804
244	584	1802
245	587	1799
246	589	1795
247	591	1792
248	593	1789
249	595	1785
250	597	1781
251	599	1778
252	601	1774
253	602	1770
254	604	1767
255	606	1763
256	609	1760
257	611	1757
258	613	1753
259	615	1751
260	617	1747
261	619	1744
262	621	1740
263	623	1737
264	625	1734
265	627	1730
266	629	1728
267	631	1725
268	633	1722
269	635	1719
270	637	1716
271	640	1713
272	642	1709
273	644	1708
274	646	1704
275	648	1701
276	650	1698
277	652	1694
278	654	1691
279	656	1688
280	659	1686
281	661	1682
282	662	1679
283	665	1676
284	666	1673
285	668	1670
286	670	1666
287	673	1664
288	675	1661
289	677	1657
290	679	1654
291	681	1651
292	683	1648
293	685	1645
294	687	1642
295	689	1639
296	691	1636
297	693	1633
298	698	1637
299	703	1640
300	707	1642
301	712	1647
302	714	1644
303	716	1641
304	719	1638
305	721	1635
306	723	1632
307	725	1629
308	726	1625
309	728	1622
310	730	1619
311	733	1616
312	735	1613
313	737	1610
314	739	1607
315	741	1604
316	743	1601
317	745	1598
318	747	1595
319	749	1592
320	751	1589
321	753	1586
322	755	1583
323	757	1580
324	759	1577
325	761	1573
326	763	1571
327	765	1568
328	767	1565
329	769	1562
330	771	1559
331	773	1556
332	775	1553
333	777	1551
334	780	1548
335	781	1545
336	783	1542
337	785	1538
338	787	1535
339	789	1532
340	791	1530
341	793	1527
342	795	1524
343	797	1521
344	799	1518
345	801	1515
346	803	1512
347	805	1509
348	807	1506
349	809	1503
350	811	1500
351	813	1498
352	815	1495
353	817	1492
354	819	1489
355	821	1486
356	823	1483
357	825	1480
358	827	1477
359	829	1475
360	831	1472
361	834	1470
362	837	1469
363	839	1466
364	841	1463
365	843	1461
366	845	1458
367	847	1455
368	849	1452
369	851	1449
370	853	1446
371	855	1443
372	857	1440
373	859	1438
374	861	1435
375	863	1432
376	865	1429
377	867	1426
378	868	1423
379	871	1421
380	872	1418
381	874	1415
382	876	1412
383	878	1409
384	880	1406
385	882	1404
386	885	1401
387	887	1399
388	889	1396
389	891	1394
390	893	1391
391	895	1388
392	897	1386
393	899	1383
394	901	1380
395	903	1377
396	905	1375
397	907	1372
398	909	1369
399	911	1366
400	913	1364
401	915	1361
402	917	1358
403	919	1355
404	921	1353
405	923	1350
406	924	1347
407	926	1344
408	928	1342
409	930	1339
410	932	1336
411	934	1334
412	937	1331
413	939	1330
414	941	1327
415	943	1324
416	945	1322
417	947	1319
418	949	1316
419	951	1314
420	953	1311
421	955	1309
422	957	1306
423	959	1303
424	961	1301
425	963	1298
426	965	1296
427	967	1293
428	970	1291
429	972	1288
430	974	1286
431	976	1283
432	978	1280
433	980	1278
434	982	1275
435	984	1272
436	986	1270
437	988	1267
438	990	1265
439	992	1262
440	994	1260
441	996	1257
442	998	1255
443	1000	1252
444	1002	1249
445	1004	1247
446	1005	1244
447	1007	1241
448	1009	1239
449	1011	1236
450	1013	1234
451	1015	1231
452	1017	1229
453	1019	1226
454	1021	1223
455	1023	1221
456	1025	1218
457	1027	1216
458	1029	1213
459	1031	1211
460	1033	1208
461	1035	1205
462	1037	1203
463	1039	1200
464	1041	1198
465	1043	1196
466	1045	1193
467	1047	1191
468	1049	1188
469	1051	1185
470	1053	1183
471	1055	1181
472	1057	1178
473	1059	1176
474	1061	1173
475	1063	1170
476	1065	1168
477	1068	1166
478	1071	1165
479	1076	1166
480	1080	1165
481	1084	1165
482	1087	1164
483	1090	1162
484	1091	1159
485	1093	1156
486	1095	1154
487	1097	1151
488	1099	1149
489	1102	1146
490	1104	1144
491	1106	1142
492	1108	1139
493	1110	1137
494	1112	1134
495	1114	1132
496	1116	1129
497	1118	1126
498	1120	1124
499	1122	1122
500	1124	1119
501	1126	1117
502	1128	1114
503	1129	1111
504	1131	1109
505	1133	1106
506	1135	1104
507	1137	1101
508	1140	1099
509	1142	1097
510	1144	1094
511	1146	1092
512	1148	1090
513	1150	1087
514	1152	1085
515	1154	1082
516	1156	1080
517	1158	1077
518	1160	1075
519	1162	1072
520	1164	1070
521	1166	1067
522	1168	1065
523	1170	1063
524	1172	1060
525	1174	1058
526	1176	1055
527	1178	1053
528	1180	1051
529	1182	1048
530	1184	1046
531	1186	1043
532	1188	1041
533	1190	1038
534	1192	1036
535	1194	1033
536	1196	1031
537	1198	1029
538	1200	1026
539	1202	1024
540	1204	1021
541	1206	1019
542	1208	1016
543	1210	1014
544	1213	1012
545	1215	1010
546	1217	1008
547	1219	1005
548	1221	1003
549	1223	1001
550	1225	998
551	1227	996
552	1229	993
553	1231	991
554	1233	989
555	1235	986
556	1237	984
557	1239	981
558	1241	979
559	1243	976
560	1245	974
561	1247	972
562	1249	969
563	1251	967
564	1253	965
565	1255	962
566	1257	960
567	1259	958
568	1261	955
569	1263	953
570	1265	951
571	1268	948
572	1269	946
573	1271	943
574	1273	941
575	1275	939
576	1277	936
577	1279	934
578	1281	932
579	1284	930
580	1286	927
581	1288	925
582	1290	922
583	1292	920
584	1294	918
585	1296	916
586	1298	913
587	1300	911
588	1302	909
589	1304	906
590	1306	904
591	1308	901
592	1310	899
593	1312	897
594	1314	894
595	1316	892
596	1318	890
597	1320	887
598	1322	885
599	1324	882
600	1326	880
601	1328	878
602	1330	875
603	1332	873
604	1334	871
605	1336	868
606	1338	866
607	1340	864
608	1342	861
609	1343	859
610	1345	856
611	1347	854
612	1349	852
613	1351	849
614	1353	847
615	1355	845
616	1357	842
617	1360	840
618	1362	838
619	1363	835
620	1366	833
621	1368	831
622	1370	829
623	1372	826
624	1374	824
625	1376	822
626	1378	819
627	1380	817
628	1382	815
629	1384	812
630	1385	810
631	1388	808
632	1390	805
633	1392	803
634	1394	801
635	1396	799
636	1398	796
637	1400	794
638	1402	792
639	1404	789
640	1406	787
641	1408	785
642	1412	784
643	1415	782
644	1417	780
645	1419	777
646	1421	775
647	1424	773
648	1426	771
649	1428	769
650	1430	766
651	1432	764
652	1434	762
653	1436	759
654	1439	758
655	1449	760
656	1453	758
657	1457	757
658	1460	755
659	1462	753
660	1464	750
661	1466	748
662	1468	746
663	1470	743
664	1472	741
665	1474	739
666	1476	736
667	1477	734
668	1480	732
669	1482	730
670	1484	727
671	1486	725
672	1488	723
673	1490	720
674	1492	718
675	1494	716
676	1496	714
677	1498	711
678	1500	709
679	1502	707
680	1504	704
681	1506	702
682	1508	700
683	1510	698
684	1512	695
685	1514	693
686	1516	691
687	1518	688
688	1520	686
689	1522	684
690	1524	681
691	1526	679
692	1528	677
693	1530	675
694	1532	672
695	1534	670
696	1536	668
697	1538	665
698	1540	663
699	1542	661
700	1544	658
701	1546	656
702	1548	654
703	1550	651
704	1552	649
705	1554	647
706	1556	645
707	1558	642
708	1560	640
709	1562	638
710	1564	635
711	1566	633
712	1568	631
713	1570	629
714	1571	626
715	1573	624
716	1575	621
717	1577	619
718	1579	617
719	1582	615
720	1584	612
721	1585	610
722	1587	608
723	1589	605
724	1591	603
725	1592	601
726	1594	598
727	1596	596
728	1598	594
729	1600	591
730	1601	589
731	1603	587
732	1605	584
733	1607	582
734	1608	580
735	1610	577
736	1612	575
737	1614	573
738	1616	570
739	1618	568
740	1619	566
741	1621	563
742	1623	561
743	1625	559
744	1626	556
745	1628	554
746	1630	552
747	1632	549
748	1634	547
749	1636	545
750	1637	543
751	1639	540
752	1641	538
753	1643	536
754	1644	533
755	1646	531
756	1648	529
757	1650	526
758	1651	524
759	1653	522
760	1655	519
761	1657	517
762	1658	515
763	1660	512
764	1662	510
765	1663	508
766	1665	506
767	1667	503
768	1669	501
769	1670	499
770	1672	496
771	1674	494
772	1676	492
773	1678	489
774	1679	487
775	1681	485
776	1683	483
777	1685	480
778	1686	478
779	1688	476
780	1690	473
781	1692	471
782	1694	469
783	1695	467
784	1697	464
785	1699	462
786	1700	460
787	1702	458
788	1704	455
789	1706	453
790	1708	451
791	1709	449
792	1711	446
793	1713	444
794	1715	442
795	1716	440
796	1718	437
797	1720	435
798	1722	433
799	1723	430
800	1725	428
801	1727	426
802	1729	424
803	1731	422
804	1733	419
805	1734	417
806	1736	415
807	1738	413
808	1740	410
809	1741	408
810	1743	406
811	1745	404
812	1747	401
813	1749	399
814	1750	397
815	1752	395
816	1754	392
817	1756	390
818	1758	388
819	1759	386
820	1761	384
821	1763	381
822	1765	379
823	1767	377
824	1768	375
825	1770	373
826	1772	370
827	1774	368
828	1776	366
829	1778	364
830	1780	362
831	1781	359
832	1783	357
833	1785	355
834	1786	353
835	1788	350
836	1790	348
837	1792	346
838	1794	344
839	1795	342
840	1797	339
841	1799	337
842	1801	335
843	1803	333
844	1806	331
845	1810	329
846	1813	327
847	1817	325
848	1821	323
849	1823	321
850	1825	319
851	1827	317
852	1829	315
853	1831	313
854	1833	310
855	1834	308
856	1836	306
857	1838	304
858	1840	302
859	1842	299
860	1843	297
861	1845	295
862	1847	293
863	1849	291
864	1850	288
865	1852	286
866	1854	284
867	1855	282
